item_id,manage_number
2847600,XR005352
2847656,FN015774
2847844,A0073980
2847908,DU013883
2847971,OW007578
2848081,GL012948
2848139,YV009936
2848253,XT002908
2848323,RI007295
2848390,A0074125
2848509,MC016914
2848581,A0074189
2848634,WU004987
2848719,XV005141
2848732,RT011518
2848751,XO006910
2849005,A0074273
2849191,TW011832
2849205,AY005440
2849472,PA020081
2849473,PX013693
2849568,RT011540
2849731,RY011738
2849802,A0074475
2849836,A0074481
2849918,SU016006
2850149,YZ022861
2850191,GJ021439
2850289,YA010464
2850593,A0074684
2850720,A0074734
2850967,GE016972
2851028,YA010465
2851120,A0074871
2851139,AC007337
2851140,AC007338
2851142,A0074879
2851143,A0074880
2851291,A0074908
2851317,A0074918
2851426,IW016836
2851472,PG027351
2851583,XH006510
2851663,EE012539
2851684,HZ016374
2851805,A0075030
2851883,A0075081
2851989,A0075133
2851990,A0075134
2852065,A0075163
2852185,MC016974
2852186,MC016975
2852347,TP011454
2852379,OU006319
2852906,EN013832
2852951,XW003501
2852984,WP009558
2853119,A0075441
2853255,A0075466
2853386,YV009956
2853486,DD020258
2853527,PG027427
2853558,A0075536
2853888,AY005540
2854031,WA011406
2854059,FH023157
2854070,YA010489
2854531,IW016877
2854536,XH006525
2854575,A0075940
2854645,FP018441
2854671,A0075968
2854915,AI010042
2854958,WB030295
2855098,A0076073
2855100,A0076075
2855248,YZ022958
2855257,OW007591
2855487,YC012039
2855540,TU034649
2855571,XI005898
2855619,GM015639
2855666,FH023184
2855671,YF009916
2855942,RT011581
2856390,XO006971
2856426,VR004353
2856465,A0076469
2856607,TP011474
2856645,MC017011
2856648,XM004748
2856724,RV008193
2856848,ID019357
2856919,ID019363
2857061,A0076608
2857066,A0076612
2857140,XT002991
2857170,A0076637
2857211,TU034676
2857247,XT002992
2857479,XO007003
2857680,A0076772
2857693,AD010002
2857887,BY006808
2858022,A0076862
2858059,A0076875
2858165,EX013950
2858332,FH023199
2858355,XW003547
2858358,XO007009
2858410,XJ005187
2858676,AG008402
2858812,BI005152
2858897,XV005230
2859134,WB030308
2859152,AC007421
2859156,YA010494
2859317,RY011816
2859404,ID019384
2859412,EX013964
2859565,AI010110
2859566,AI010111
2859624,YZ023012
2859894,EF017755
2859896,XI005958
2860076,WB030310
2860211,WU005069
2860338,BY006822
2860417,A0077554
2860608,A0077595
2860660,A0077599
2860706,A0077619
2860778,EN013890
2860793,EN013891
2860804,A0077644
2860805,A0077645
2860833,EE012571
2860936,WU005086
2860966,AC007437
2861011,PX013775
2861159,A0077763
2861191,RV008212
2861219,PH018375
2861220,PH018376
2861308,XV005233
2861316,XR005455
2861407,TM023833
2861419,A0077829
2861556,YP013276
2861557,A0077877
2861581,EF017763
2861631,A0077902
2861685,YD011220
2861947,XH006596
2861988,WB030344
2862057,A0078012
2862077,AD010036
2862105,OU006442
2862246,A0078064
2862293,RT011663
2862426,SU016100
2862577,YE009321
2862602,RZ007071
2862607,A0078228
2862650,XR005468
2862654,XR005472
2862664,A0078243
2862757,A0078261
2862818,A0078287
2862967,FU027037
2862998,PZ028616
2863068,FH023240
2863069,FH023241
2863118,AX006054
2863135,WU005092
2863151,HV018868
2863154,XR005482
2863294,RU008656
2863380,IY015880
2863444,VM006459
2863524,A0078480
2863646,XO007088
2863731,FH023251
2863772,A0078546
2863813,GJ021470
2863815,GJ021472
2864124,A0078633
2864148,A0078641
2864275,A0078679
2864289,YZ023086
2864357,A0078704
2864408,AI010174
2864509,BW007975
2864658,WA011465
2864791,XM004808
2864801,A0078828
2864851,A0078847
2864945,A0078875
2864961,IU015759
2865062,XH006649
2865184,RA014194
2865244,A0078962
2865246,A0078964
2865269,YZ023133
2865383,BW007992
2865389,FH023270
2865442,NP017760
2865497,A0079016
2865916,HX019589
2865936,A0079210
2866029,A0079222
2866090,OU006544
2866091,OU006545
2866093,BJ008462
2866106,TW011986
2866149,YF009956
2866185,YD011277
2866206,A0079255
2866219,PG027515
2866268,MC017096
2866302,PH018397
2866400,FU027118
2866642,YD011285
2866689,A0079342
2866701,A0079349
2866710,GN018671
2866713,A0079353
2866768,WU005102
2866780,A0079373
2866790,A0079381
2866836,FN015926
2866933,A0079413
2866965,YV010061
2866966,XT003040
2867007,AY005599
2867036,XT003043
2867089,A0079467
2867196,CR023023
2867210,XO007092
2867355,DJ013874
2867397,AI010226
2867398,AI010227
2867694,HX019621
2867708,RZ007078
2867732,OZ016038
2867910,RY011893
2867913,AI010235
2867916,A0079631
2867938,HV018913
2867986,WU005108
2868114,DJ013879
2868282,YP013323
2868298,BW008025
2868361,EF017786
2868443,XJ005248
2868445,EF017788
2868475,RY011897
2868480,RY011898
2868484,HX019634
2868653,YP013333
2869355,XV005312
2869422,RY011909
2869473,DJ013883
2869493,A0080096
2869634,A0080152
2869644,A0080158
2869646,A0080160
2869687,PX013816
2869737,XM004845
2869824,OZ016065
2869945,A0080289
2869969,A0080294
2869985,PG027591
2870110,A0080328
2870203,A0080363
2870219,A0080369
2870249,HX019648
2870338,A0080398
2870795,RU008694
2870932,XS004554
2870973,A0080598
2871327,YV010076
2871433,A0080708
2871568,A0080747
2871607,YZ023201
2871682,A0080790
2871704,OU006608
2871707,OU006611
2871910,BW008055
2871913,A0080825
2871915,RV008297
2872005,A0080846
2872054,A0080856
2872058,A0080860
2872064,A0080866
2872107,A0080886
2872108,A0080887
2872173,OU006629
2872306,FU027188
2872330,HX019677
2872362,FN015980
2872433,XW003690
2872453,GJ021512
2872541,A0080996
2872556,A0080999
2872585,ID019514
2872612,A0081025
2872658,XI006027
2872659,A0081058
2872676,A0081067
2872685,VU007222
2873102,ID019516
2873162,FU027215
2873189,A0081148
2873361,RI007406
2873716,TP011517
2873836,YP013374
2873838,YP013376
2873839,YP013377
2873861,BI005212
2873862,YA010574
2873894,TU034907
2873895,TU034908
2873942,VU007258
2873945,VU007260
2873969,OZ016120
2873970,OZ016121
2873995,A0081316
2874002,XM004922
2874048,PG027681
2874071,FH023416
2874113,A0081378
2874321,YD011335
2874366,A0081451
2874486,A0081461
2874495,A0081463
2874515,A0081464
2874573,YP013389
2874616,A0081502
2874650,TW012072
2874698,A0081537
2874780,A0081548
2874784,TU034929
2874882,RX009004
2874920,VX007086
2874969,AD010111
2874996,RV008318
2874997,RV008319
2875089,HX019693
2875090,HX019694
2875092,HX019696
2875093,HX019697
2875262,YP013406
2875273,YD011347
2875296,A0081642
2875297,A0081643
2875349,FH023438
2875357,YD011348
2875439,WP009710
2875480,PO020260
2875482,PO020262
2875491,RV008328
2875506,A0081694
2875510,ID019529
2875544,YY005195
2875554,A0081704
2875607,TW012091
2875635,AI010308
2875637,AI010310
2875706,XB005631
2875830,AX006111
2876020,VR004407
2876219,BJ008553
2876221,BJ008555
2876256,XI006063
2876304,YD011370
2876320,XJ005302
2876389,XB005640
2876440,ID019534
2876455,AC007585
2876485,XV005350
2876500,XV005351
2876556,A0081978
2876560,XH006769
2876565,OU006774
2876566,OU006775
2877174,AI010327
2877227,A0082219
2877228,A0082220
2877229,A0082221
2877230,A0082222
2877261,A0082239
2877262,TW012135
2877304,EX014077
2877334,RY011928
2877359,A0082276
2877495,AI010344
2877503,PO020267
2877511,A0082318
2877678,A0082358
2877685,A0082364
2877721,WU005211
2877738,OZ016131
2877742,A0082389
2877756,A0082393
2877781,VU007292
2877789,AI010355
2877808,A0082404
2877842,YE009445
2877914,XM004972
2877941,SU016165
2877954,TW012150
2877981,A0082436
2878030,VU007295
2878039,XG005330
2878044,FN016011
2878055,FN016012
2878057,FN016013
2878081,XO007243
2878109,DP005771
2878138,AW007757
2878141,A0082494
2878321,VU007307
2878328,A0082565
2878344,AD010143
2878358,A0082575
2878359,A0082576
2878366,PG027732
2878505,BY006951
2878524,HZ016474
2878525,XH006777
2878526,XH006778
2878548,A0082646
2878691,XO007259
2878729,PG027757
2878850,YY005206
2878903,XM004992
2879033,EE012615
2879082,A0082877
2879102,A0082878
2879149,WA011529
2879184,XA007222
2879264,WU005232
2879279,RZ007152
2879285,EX014089
2879293,XW003732
2879295,EN013988
2879309,XW003733
2879337,PG027781
2879437,A0082953
2879438,A0082954
2879455,BZ007011
2879600,A0083001
2879601,A0083002
2879644,RT011806
2879645,RT011807
2879791,DJ013904
2879795,VR004421
2879887,WA011547
